year,country,countryJP,amount,value
2019,Italy,イタリア,12592,139043
2019,Poland,ポーランド,84,944
2019,Russia,ロシア,3310,39607
2019,Greece,ギリシャ,212,2427
2019,Canada,カナダ,23914,237574
2019,USA,アメリカ合衆国,302545,2632284
2019,Mexico,メキシコ,9743,139389
2019,Australia,オーストラリア,12389,120276
2019,new zealand,ニュージーランド,5046,40353
2019,Taiwan,台湾,253479,1244944
2019,Hong Kong,香港,225675,1036126
2019,Vietnam,ベトナム,6048,33741
2019,Thailand,タイ,19754,98156
2019,Singapore,シンガポール,57406,242710
2019,Malaysia,マレーシア,21938,118541
2019,Philippines,フィリピン,1813,10219
2019,Indonesia,インドネシア,2457,11986
2019,Macau,マカオ,1508,7951
2019,Qatar,カタール,99,963
2019,UAE,アラブ首長国連邦,195,2060
2019,Denmark,デンマーク,364,2390
2019,British,英国,3264,19633
2019,Netherlands,オランダ,7089,47789
2019,Belgium,ベルギー,2784,14094
2019,France,フランス,926,5955
2019,Germany,ドイツ,723,3827
2019,Switzerland,スイス,40,228
2019,Italy,イタリア,3939,28464
2019,Russia,ロシア,716,4075
2019,Greece,ギリシャ,147,1672
2019,Canada,カナダ,1319,9890
2019,USA,アメリカ合衆国,20941,105422
2019,Mexico,メキシコ,3335,20452
2019,Australia,オーストラリア,15780,89142
2019,new zealand,ニュージーランド,297,1889
2019,Taiwan,台湾,120662,549307
2019,Hong Kong,香港,84678,334560
2019,Vietnam,ベトナム,51,238
2019,Thailand,タイ,8286,34427
2019,Singapore,シンガポール,30930,94097
2019,Malaysia,マレーシア,9570,48418
2019,Philippines,フィリピン,370,2283
2019,Indonesia,インドネシア,316,1817
2019,Macau,マカオ,488,2077
2019,Qatar,カタール,56,547
2019,Denmark,デンマーク,166,725
2019,British,英国,1697,10879
2019,Netherlands,オランダ,3396,20327
2019,Belgium,ベルギー,1073,5919
2019,France,フランス,207,786
2019,Germany,ドイツ,128,718
2019,Switzerland,スイス,37,237
