year,country,amount,value
2017,ニュージーランド,4469,36321
2017,台湾,84974,458624
2017,香港,141169,660082
2017,ベトナム,724,4673
2017,タイ,14928,77102
2017,シンガポール,49139,224123
2017,マレーシア,7553,41149
2017,フィリピン,2554,13360
2017,インドネシア,289,1860
2017,マカオ,1088,6626
2017,バーレーン,119,1642
2017,アラブ首長国連邦,113,1134
2017,英国,3784,23503
2017,オランダ,7920,49624
2017,ベルギー,2388,13815
2017,フランス,86,560
2017,ドイツ,836,4697
2017,スイス,68,504
2017,イタリア,2284,16223
2017,ロシア,759,5126
2017,クロアチア,107,852
2017,カナダ,2174,14344
2017,アメリカ合衆国,32835,163280
2017,メキシコ,747,4924
2017,ニュージーランド,475,3233
2017,台湾,44470,227978
2017,香港,44609,164918
2017,ベトナム,69,249
2017,タイ,3711,14856
2017,シンガポール,20795,72056
2017,マレーシア,4786,23322
2017,フィリピン,886,2836
2017,インドネシア,124,765
2017,マカオ,969,3313
2017,バーレーン,59,819
2017,アラブ首長国連邦,21,348
2017,英国,191,1079
2017,オランダ,1186,7108
2017,ベルギー,947,4068
2017,ドイツ,171,804
2017,イタリア,438,2253
2017,ロシア,57,363
2017,カナダ,66,570
2017,アメリカ合衆国,8327,37825
2017,メキシコ,96,454
2017,ニュージーランド,74,395
2017,台湾,112174,671459
2017,香港,68532,311699
2017,ベトナム,110,446
2017,タイ,3471,26542
2017,シンガポール,10176,63606
2017,マレーシア,1552,10067
2017,フィリピン,1108,12746
2017,ラオス,16303,111511
2017,マカオ,826,12348
2017,バーレーン,48,666
2017,アラブ首長国連邦,53,594
2017,デンマーク,1019,9729
2017,英国,2013,16725
2017,オランダ,2073,20029
2017,フランス,90,932
2017,ドイツ,3424,29265
2017,スイス,615,6549
2017,イタリア,600,4952
2017,ロシア,164,1561
2017,クロアチア,78,729
2017,カナダ,3230,30706
2017,アメリカ合衆国,44576,314626
2017,メキシコ,293,2817
2017,アラブ首長国連邦,236,2478
2017,台湾,24955,197260
2017,モンゴル,1540,13583
2017,香港,209784,1507802
2017,ベトナム,16124,145087
2017,タイ,62717,495188
